"filename", "language", "Python", "C++", "YAML", "toml", "Ini", "pip requirements", "Shell Script", "Markdown", "Properties", "reStructuredText", "XML", "CSS", "JSON", "comment", "blank", "total"
"e:\LocalSoftware\share\pybind11-2.11.1\.appveyor.yml", "YAML", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"e:\LocalSoftware\share\pybind11-2.11.1\.cmake-format.yaml", "YAML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 15, 74
"e:\LocalSoftware\share\pybind11-2.11.1\.github\CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 300, 0, 0, 0, 0, 0, 0, 89, 389
"e:\LocalSoftware\share\pybind11-2.11.1\.github\ISSUE_TEMPLATE\bug-report.yml", "YAML", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 62
"e:\LocalSoftware\share\pybind11-2.11.1\.github\ISSUE_TEMPLATE\config.yml", "YAML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\LocalSoftware\share\pybind11-2.11.1\.github\dependabot.yml", "YAML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8
"e:\LocalSoftware\share\pybind11-2.11.1\.github\labeler.yml", "YAML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\LocalSoftware\share\pybind11-2.11.1\.github\labeler_merged.yml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\LocalSoftware\share\pybind11-2.11.1\.github\matchers\pylint.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 1, 33
"e:\LocalSoftware\share\pybind11-2.11.1\.github\pull_request_template.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6, 8, 20
"e:\LocalSoftware\share\pybind11-2.11.1\.github\workflows\ci.yml", "YAML", 0, 0, 842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 235, 1166
"e:\LocalSoftware\share\pybind11-2.11.1\.github\workflows\configure.yml", "YAML", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 93
"e:\LocalSoftware\share\pybind11-2.11.1\.github\workflows\format.yml", "YAML", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 61
"e:\LocalSoftware\share\pybind11-2.11.1\.github\workflows\labeler.yml", "YAML", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"e:\LocalSoftware\share\pybind11-2.11.1\.github\workflows\pip.yml", "YAML", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26, 115
"e:\LocalSoftware\share\pybind11-2.11.1\.github\workflows\upstream.yml", "YAML", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26, 117
